
🔍 LocallySF Enrichment — Phase 1
Total places: 12966
Need enrichment (restaurants + cafes): 2407
Already completed: 10
Remaining: 2397
Estimated cost: ~$187 of $200 free credit

[0.0%] Tommaso's Ristorante Italiano... ✅ 4.5★ (891 reviews, 3 photos)
[0.1%] Osteria Cucina Toscana... ✅ 4.1★ (870 reviews, 3 photos)
[0.1%] Caffé Sport... ✅ 4.4★ (753 reviews, 3 photos)
[0.2%] Grumpy's Restaurant Pub... ✅ 4.4★ (384 reviews, 3 photos)
[0.2%] Firefly... ✅ 4.6★ (795 reviews, 3 photos)
[0.3%] Bernal Heights Pizzeria... ✅ 4.4★ (185 reviews, 3 photos)
[0.3%] Belle Cora... ✅ 4.6★ (236 reviews, 3 photos)
[0.3%] Barbara Pinseria & Cocktail Bar... ✅ 4.2★ (618 reviews, 3 photos)
[0.4%] Mama's on Washington Square... ✅ 4.4★ (3113 reviews, 3 photos)
[0.4%] Teo Restaurant & Bar... ✅ 0★ (0 reviews, 0 photos)
[0.5%] Tú Lan... ✅ 4.5★ (1059 reviews, 3 photos)
[0.5%] North Beach Pizza... ✅ 4.1★ (358 reviews, 3 photos)
[0.5%] Empress of China... ✅ 4.2★ (509 reviews, 3 photos)
[0.6%] Sushi on North Beach - Katsu... ✅ 4.5★ (501 reviews, 3 photos)
[0.6%] Il Pollaio... ✅ 4.6★ (270 reviews, 3 photos)
[0.7%] Freddie's Sandwiches... ✅ 4.7★ (678 reviews, 3 photos)
[0.7%] La Trappe... ✅ 4.5★ (302 reviews, 3 photos)
[0.8%] Coi... ✅ 4.5★ (220 reviews, 3 photos)
[0.8%] Mo's Grill... ✅ 4.7★ (1314 reviews, 3 photos)
[0.8%] Washington Square Bar & Grill... ✅ 5★ (1 reviews, 0 photos)
[0.9%] Don Pistos... ✅ 4.5★ (1002 reviews, 3 photos)
[0.9%] Bubba Gump Shrimp Company... ✅ 4.2★ (8193 reviews, 3 photos)
[1.0%] Osha BBQ... ✅ 4.2★ (576 reviews, 3 photos)
[1.0%] Cafe Mason... ✅ 4.3★ (2624 reviews, 3 photos)
[1.0%] Pinecrest Diner... ✅ 4.2★ (4673 reviews, 3 photos)
[1.1%] Happy Donut... ✅ 4.2★ (239 reviews, 3 photos)
[1.1%] Tommy's Joynt... ⚠️ Not found on Google
[1.2%] The Laundromat SF... ✅ 4.7★ (620 reviews, 3 photos)
[1.2%] Little Kitchen... ✅ 3.1★ (14 reviews, 3 photos)
[1.3%] Asa Sushi... ✅ 4.5★ (445 reviews, 3 photos)
[1.3%] Squat & Gobble... ✅ 4.3★ (722 reviews, 3 photos)
[1.3%] Beach Chalet... ✅ 4.1★ (3778 reviews, 3 photos)
[1.4%] Beach Chalet Brewery & Restaurant... ✅ 4.1★ (3778 reviews, 3 photos)
[1.4%] Pancho Villa... ✅ 4.3★ (4058 reviews, 3 photos)
[1.5%] El Toro... ✅ 4.2★ (929 reviews, 3 photos)
[1.5%] Round Table Pizza... ✅ 3.5★ (462 reviews, 3 photos)
[1.5%] Ike's Kitchen... ✅ 4.6★ (184 reviews, 3 photos)
[1.6%] Son & Garden... ✅ 4.5★ (1312 reviews, 3 photos)
[1.6%] Pronto Pizza & Espresso... ✅ 4.5★ (804 reviews, 3 photos)
[1.7%] Jarin Thia Cuisine... ✅ 4.3★ (90 reviews, 3 photos)
[1.7%] Underdogs Too... ✅ 4.4★ (791 reviews, 3 photos)
[1.8%] Chubby Noodle... ✅ 4.2★ (702 reviews, 3 photos)
[1.8%] Shabu club... ✅ 4.5★ (406 reviews, 3 photos)
[1.8%] Hamburger Haven... ✅ 4.5★ (473 reviews, 3 photos)
[1.9%] Giorgio's Pizza... ✅ 4.4★ (828 reviews, 3 photos)
[1.9%] Tavola Rustica... ✅ 4.5★ (180 reviews, 3 photos)
[2.0%] McCormick & Schmick's... ✅ 4.2★ (1967 reviews, 3 photos)
[2.0%] Inle Burmese Cuisine... ✅ 4.5★ (295 reviews, 3 photos)
[2.0%] Puerto Allegre... ✅ 4.5★ (812 reviews, 3 photos)
[2.1%] El Farolito... ✅ 4.5★ (5591 reviews, 3 photos)
[2.1%] Arepas... ✅ 4★ (490 reviews, 3 photos)
[2.2%] Pakwan... ✅ 4.3★ (1902 reviews, 3 photos)
[2.2%] Suppenküche... ✅ 4.5★ (1948 reviews, 3 photos)
